totalValueLockedUSD,createdTimestamp
112748.43885788924501930469892864,
108944.019413908796893707827213,
108573.17124414858841964918074,
110283.56198657208663734277251844,
119803.8182088511533917288929448,
127981.1977668744106890602040567,
127437.88181317455041504396424841,
133030.04169042518410390089864951,
146304.25073022176695608232187175,
145975.0620201680523733422060402,
153068.7685486486797056563733789,
167981.0079757646500846640250966,
176227.9295828125694333884721382,
148296.7720105204889690171451536,
151233.4810536245818333537398876,
147648.8611429248678043841590832,
147988.05438751462807145583609843,
177078.3016105901756350371587382,
179105.0542512484767045383609702,
162301.4100545103164447174606448,
164053.0358126880566232081429122,
165350.91782211305996315264798709,
225097.6190683270910482797023592,
233760.22562121397445007042665265,
223823.25333479481012083947200174,
243007.7009041652636689903346232,
224040.145321520495126389364707,
208350.3935389028018241139076324,
208350.3935389028018241139076324,
208402.20166197560001705862471465,
172793.13396468631663934394383577,
140741.74113173826314950308574644,
176901.47353927031936160584798949,
219127.63929436221509352974706,
223743.66584070622362896355430908,
199642.4751879663619447226213918,
231228.1054412724461739638562564,
199007.9402883665499305622382653,
188241.79959360019948516097417868,
191579.44630312266528475341102874,
155384.24255289610991052537154575,
