mintAmount,openedAt,openTxhash,premiumEarned,strikePrice
2348.55480162,2023-10-06,0x43b26e08d6d3073094314ee3efef183ae0adca8eb4d6515610fde9bc77e05ac8,3.287976722268,1750.0
2415.03606419,2023-09-29,0x26e4b0b6ca6952278d9abe8dfae7fba92ac17538cc6bfafaa71557fb436ddefe,4.105561309123,1800.0
2415.84917433,2023-09-22,0xd170b763a06ae7215c7d96a3a7e942ebc7d987b82fc7cba70f67bc80239d6b51,3.140603926629,1700.0
2018.53855179,2023-09-15,0xdf1142e35fceb0dd2c0eabcf7b52442410d46a9b5736c640ea17d94324ec6023,4.541684813938,1750.0
1994.32343665,2023-09-08,0xf7bea5a539b1b8f08c6d3bbb44ebad7af78afdf68003a012223a9807cbc78df2,3.390349842305,1750.0
2004.04779844,2023-09-01,0x349f5338b7e60d737e0c8c6a51d545c4be4197a82d475521de41c154e9f21e59,3.406881257348,1750.0
1951.92288158,2023-08-25,0x8658cd1b2de9acd1b4a507ac2dbdbdb5e5a3373b2876ced5476066770b457a94,3.708653475002,1800.0
2037.50998004,2023-08-18,0xf54ef3dc640d0ccfa4cfaf37a259900525c4998b809ae6470610f5da772869b6,3.667517964072,1850.0
2340.64127538,2023-08-11,0xea917a0e1b8f37978daf6342668c6f184d6f9d64d0e184d917cae8735f180abd,6.085667315988,1950.0
2433.54236716,2023-08-04,0xa86f5174519c94d765fbd84302ccc1e86ad2930bfde8d4b546f294337b37ede3,5.597147444468,1950.0
2487.03592889,2023-07-28,0xe89561ee598832c23bdafbb30fc0b23c5953d8822598d2df5001d27447899f3f,4.352364672002,2000.0
2473.90418267,2023-07-21,0x9dcb6e1534b2b61091235a68f40c28e9bbaee445ceb472104955e21b319845b7,6.184760456675,2050.0
2410.08269741,2023-07-14,0x31f44d047541625a8f9fd22c6e8911543a12da76fc7bec1dee354798e8a7490e,8.194281171194,2200.0
2408.63547717,2023-07-07,0x30270cd6ca2aec81e391806335c0ff436728d861fed5c912c52c250f2c8f1223,4.93767095434,2050.0
2489.09672589,2023-06-30,0xebe426b7fbe35e0c6258b1ba83eacfd896763bd90f0375e26352a5ea7ddfaae2,5.10259345178,2100.0
2689.84538987,2023-06-23,0x4f281f578c3f36d5bb1ea9602782b099e4ba01aacd382b2ee5d3bc8ea052a1ab,9.279874325558,2100.0
2777.86764572,2023-06-16,0xfabc0bfff097c82a25745a07d86dd0747781d16b6d1f682d83445baf543756bd,6.528082349728,1800.0
3084.75669246,2023-06-09,0x01f9f1dfcce6df55b2432c918775855fb4752e4ccd0c487d5ed2dfd4156ba25a,5.398362046428,2000.0
3159.25618016,2023-06-02,0xc9b273ffe8faab5abe4de90c4cfd19aba09fe73e1e23f38b8b792e9490c37824,5.054809888256,2050.0
3501.50336532,2023-05-26,0xed1ffaa95a80a25fc4e6f0555b992b3755ba2a4e69dce75cdce597be7838c5cf,8.053457740236,1950.0
3597.68682987,2023-05-19,0xb61d914c5f7244c210c47fa61ad3c5af360ae8b8dd4b0d9d39dcafb8b88ce411,12.951672587532,1950.0
3639.84363763,2023-05-12,0xb3dd9bb3c7c55b314626436b4e7b625cd275d5c0fc174727695659e955ce5bc5,9.463593457838,1950.0
3628.7500314,2023-05-05,0xacc250bf08d45e98b484b98e739623c309e35daad327aded53e9d4311c02572f,9.97910008792,2100.0
3729.9365058,2023-04-28,0x28dfcd9081aeb42c190b18e456a6ac99c16c51ee8322ce08489dc39bbd4d0203,8.20586031276,2150.0
3720.92418371,2023-04-21,0x0b64d900d9e865300d987424b50a68438a1169e7e2d9b0fdbbe52593fae02b99,12.651142224614,2150.0
3788.97087037,2023-04-14,0xbfaa8e49349403685cbfe25580d8c7ede959f63754189a4c3296611e7e10e8eb,12.882500959258,2450.0
4097.37906472,2023-04-07,0xd95e95e84b910b55b5a2ee0308ee4a76698cb44797a6fd10e304f04f52ac183c,13.111613007104,2100.0
4148.98862893,2023-03-31,0xe626e5adcd3dee7dc11566930c39aea4cd5d0a40dfd842b71f7c0d1e1c932e33,11.409768161004,2050.0
4124.13192399,2023-03-24,0xac84831e0d0c650dd8934def91f6947c07d6ed4dfc3e0ab239347094fac6b87a,16.702740888359,2050.0
4302.20810644,2023-03-17,0xcef922f715ee4c3e31420f6e1bd5fb2b5ca5016ebd1c310c8a30716c5350a13f,14.197349183184,2050.0
6792.00304943,2023-03-10,0xab43eed852e7b73712d246fc70c8b5310005c0415cc809bd34f609ac5995ea98,16.980007928518,1550.0
6851.62960372,2023-03-03,0xb711be9f4d30c857191d5295251f0c0b7acfbe10bde966cadd79f3d663e91840,16.101329568728,1750.0
6686.11672855,2023-02-24,0xab8f74920181c42c9736e9d669d23f84d6df1b17ac31390eda1ab93fde440c01,17.04960349423,1850.0
6670.61727915,2023-02-17,0xb496659223bd59d80ed9cf3c6ebfccf06818a0443574ade2d3ce3f1e64a38c55,15.342419742045,1900.0
6679.32705469,2023-02-10,0xeef1034630645cb1a15ed39e8471dd4f3840a14cc0b165dff03f9131ceb3d9bd,21.373846575008,1750.0
6605.37606167,2023-02-03,0xb30519d8944fe55fbf4e8ad5f7b5c00b89ce74b3b204d65790e61a3974dd1dce,18.164715366509,1900.0
6468.11242164,2023-01-27,0xbd435ad28f0d48c239632210d44b86344f8b0146bd07f6171120bb3fc24287e5,18.434126022756,1800.0
6486.05212088,2023-01-20,0x380be03fcd2bc922416695c74336d18d05a20e56572719ff30ed0c667b603a3f,20.106761574728,1725.0
6667.92746787,2023-01-13,0xf6ad5fdfa0efb8450766499cf465690d12230b8d847c09363be72d78b2ecbe55,18.670389656823,1600.0
