datetime,totalValueLockedUSD,totalBorrowBalanceUSD,totalDepositBalanceUSD,borrowerStableRate,borrowerVariableRate,lenderVariableRate,market,dailyDepositUSD,dailyWithdrawUSD,inputTokenPriceUSD,blockNumber
2023-09-12,0,22873189.235328521140724138,0,0,1.5,0,Aave Ethereum GHO,0,0,1,18123657
2023-09-11,0,22778334.44910559648826928,0,0,1.5,0,Aave Ethereum GHO,0,0,1,18116254
2023-09-10,0,22437349.771596498867382558,0,0,1.5,0,Aave Ethereum GHO,0,0,1,18109354
2023-09-09,0,21856986.619073456444782744,0,0,1.5,0,Aave Ethereum GHO,0,0,1,18099637
2023-09-08,0,21857326.059125100611232953,0,0,1.5,0,Aave Ethereum GHO,0,0,1,18094855
2023-09-07,0,21766923.200468452536859813,0,0,1.5,0,Aave Ethereum GHO,0,0,1,18086680
2023-09-06,0,21598431.676758554693231252,0,0,1.5,0,Aave Ethereum GHO,0,0,1,18080788
2023-09-05,0,21181378.95197852680261027,0,0,1.5,0,Aave Ethereum GHO,0,0,1,18073684
2023-09-04,0,24974790.615000040972346271,0,0,1.5,0,Aave Ethereum GHO,0,0,1,18066242
2023-09-03,0,24509577.284638663583705608,0,0,1.5,0,Aave Ethereum GHO,0,0,1,18059109
2023-09-02,0,24109941.052193709592479442,0,0,1.5,0,Aave Ethereum GHO,0,0,1,18052223
2023-09-01,0,23628616.360201783361039508,0,0,1.5,0,Aave Ethereum GHO,0,0,1,18044364
2023-08-31,0,23633134.549206139634541782,0,0,1.5,0,Aave Ethereum GHO,0,0,1,18037665
2023-08-30,0,23637345.936187062061789661,0,0,1.5,0,Aave Ethereum GHO,0,0,1,18030482
2023-08-29,0,23985166.583363237798606541,0,0,1.5,0,Aave Ethereum GHO,0,0,1,18023636
2023-08-24,0,23989169.494826736850968149,0,0,1.5,0,Aave Ethereum GHO,0,0,1,17987334
2023-08-23,0,23654345.931659449453401842,0,0,1.5,0,Aave Ethereum GHO,0,0,1,17980405
2023-08-22,0,23727822.098841813615628487,0,0,1.5,0,Aave Ethereum GHO,0,0,1,17973686
2023-08-21,0,21996897.153891656777146149,0,0,1.5,0,Aave Ethereum GHO,0,0,1,17966318
2023-08-20,0,21484866.242615430116085769,0,0,1.5,0,Aave Ethereum GHO,0,0,1,17959278
2023-08-19,0,21376126.521390350194237893,0,0,1.5,0,Aave Ethereum GHO,0,0,1,17951850
2023-08-18,0,20830917.086473741725485295,0,0,1.5,0,Aave Ethereum GHO,0,0,1,17944969
2023-08-17,0,20754544.738420931646130197,0,0,1.5,0,Aave Ethereum GHO,0,0,1,17937939
2023-08-16,0,22429056.999708647901606849,0,0,1.5,0,Aave Ethereum GHO,0,0,1,17930592
2023-08-15,0,22945099.504156372664674137,0,0,1.5,0,Aave Ethereum GHO,0,0,1,17923663
2023-08-14,0,22483750.015353958167062332,0,0,1.5,0,Aave Ethereum GHO,0,0,1,17916517
2023-08-13,0,20113372.82709925921766831,0,0,1.5,0,Aave Ethereum GHO,0,0,1,17909364
2023-08-12,0,20337078.454082728827951133,0,0,1.5,0,Aave Ethereum GHO,0,0,1,17902180
2023-08-11,0,19814444.686872459180594955,0,0,1.5,0,Aave Ethereum GHO,0,0,1,17895043
2023-08-10,0,18202322.931463137762554088,0,0,1.5,0,Aave Ethereum GHO,0,0,1,17887916
2023-08-09,0,17509483.608106529362791403,0,0,1.5,0,Aave Ethereum GHO,0,0,1,17880748
2023-08-08,0,18792947.74400362854697195,0,0,1.5,0,Aave Ethereum GHO,0,0,1,17873566
2023-08-07,0,17471083.873543396210812093,0,0,1.5,0,Aave Ethereum GHO,0,0,1,17866474
2023-08-06,0,13810962.11125684527167343,0,0,1.5,0,Aave Ethereum GHO,0,0,1,17859319
2023-08-05,0,13558207.863353564238140742,0,0,1.5,0,Aave Ethereum GHO,0,0,1,17852101
2023-08-04,0,13186288.467090660142125208,0,0,1.5,0,Aave Ethereum GHO,0,0,1,17844782
2023-08-03,0,12006298.437762804637877714,0,0,1.5,0,Aave Ethereum GHO,0,0,1,17837870
2023-08-02,0,11253989.590032393395768191,0,0,1.5,0,Aave Ethereum GHO,0,0,1,17830134
2023-08-01,0,10724054.275659976505186614,0,0,1.5,0,Aave Ethereum GHO,0,0,1,17823504
2023-07-31,0,9915835.519844154411266908,0,0,1.5,0,Aave Ethereum GHO,0,0,1,17816225
2023-07-30,0,9443685.95281371705265682,0,0,1.5,0,Aave Ethereum GHO,0,0,1,17808979
2023-07-29,0,9009214.470027354705506964,0,0,1.5,0,Aave Ethereum GHO,0,0,1,17801740
