datetime,totalValueLockedUSD,totalBorrowBalanceUSD,totalDepositBalanceUSD,utilizationRate,borrowerStableRate,borrowerVariableRate,lenderVariableRate,market,dailyDepositUSD,dailyWithdrawUSD,inputTokenPriceUSD,blockNumber,maximumLTV,totalCollateralBalanceUSD
2023-08-25,881402029.2345029,17678516.59090857,881402029.2345029,0.020057267857963,7.6782868026998115,0.450572653037289,0.0076816669544878,Aave Ethereum wstETH,10820817.791452592,8969609.59241475,1879.70065479,17994966,69.0,25621038.53754865
2023-08-24,880148521.566828,18130010.60311636,880148521.566828,0.0205988082225504,7.683100501053714,0.4559880636854282,0.0079838883556895,Aave Ethereum wstETH,19214248.815711766,15850515.499817964,1881.00507024,17987800,69.0,26275377.68567588
2023-08-23,887917647.1633376,16377422.481305972,887917647.1633376,0.018444753895395,7.663953358749061,0.4344475285926944,0.0068112857009307,Aave Ethereum wstETH,8242133.348125409,10220962.445140136,1904.62630824,17980821,69.0,23735394.90044344
2023-08-22,865340221.8769333,15343369.118502568,865340221.8769333,0.0177310250125928,7.657609107492627,0.4273102459292059,0.006440151207471,Aave Ethereum wstETH,29421304.485598408,21125431.249372423,1852.12655836,17973618,69.0,22236766.83840952
2023-08-21,877483711.1647025,15648659.595722996,877483711.1647025,0.0178335613489077,7.658520513376393,0.4283355775484421,0.006492935171565,Aave Ethereum wstETH,55899846.45076644,22122738.252964705,1895.10706164,17966533,69.0,22679216.805395648
2023-08-20,852281648.5247396,16772203.801741572,852281648.5247396,0.0196791798002145,7.674926012135095,0.4467917636519817,0.0074736198281115,Aave Ethereum wstETH,47001459.91615682,1249361.0698181652,1914.10557593,17959387,69.0,24307541.741654452
2023-08-19,796879615.9355465,16576039.120169424,796879615.9355465,0.0208011835021139,7.684899381996453,0.4580118047460099,0.0080981082785165,Aave Ethereum wstETH,4089999.0165039934,2087281.5606910847,1892.00149967,17952212,69.0,24023245.10169482
2023-08-18,794096202.6999416,13384492.22758186,794096202.6999416,0.016855000920637,7.649822213808477,0.4185499905345363,0.0059964607401402,Aave Ethereum wstETH,25414421.16719008,6225249.612539721,1890.19410572,17944788,69.0,19397814.822582405
2023-08-17,787140785.9378157,13351261.772062432,787140785.9378157,0.0169617202037821,7.650770833421499,0.4196171875991867,0.0060498144144526,Aave Ethereum wstETH,23518119.286020134,9020505.3139782,1919.28100661,17937901,69.0,19349654.74211947
2023-08-16,836905797.516244,14318153.360437108,836905797.516244,0.0171084408817937,7.652075022148455,0.4210843999170127,0.0061234826093085,Aave Ethereum wstETH,15066134.979625355,6109584.645964457,2067.47692457,17929676,69.0,20750946.899184216
2023-08-15,831579271.4718783,14924825.42885136,831579271.4718783,0.0179475678878271,7.659533932963898,0.4294756745843845,0.0065518370951574,Aave Ethereum wstETH,13035162.872831052,332396.8944386308,2076.54762545,17922987,69.0,21630181.780944
2023-08-14,826008977.8932576,15053879.024041858,826008977.8932576,0.0182248370501212,7.661998513962846,0.4322483282082033,0.0066960054908725,Aave Ethereum wstETH,20109571.39617589,1273362.2475880051,2094.52578023,17916504,69.0,21817215.976872258
2023-08-13,804482790.4015424,15027367.810369624,804482790.4015424,0.0186795391892336,7.6660403144803215,0.436795353790363,0.0069352641248469,Aave Ethereum wstETH,7131422.250011848,3435259.69244174,2087.56104543,17909322,69.0,21778793.928071916
2023-08-12,805303528.805882,15119623.392892804,805303528.805882,0.0187750616408106,7.6668894086263535,0.4377505847046477,0.0069859738998134,Aave Ethereum wstETH,3809265.53264508,1154366.1961867723,2099.36097844,17901688,69.0,21912497.670859136
2023-08-11,801193802.7894266,15238720.70887644,801193802.7894266,0.0190200181976214,7.669066805199794,0.4402001558497689,0.0071167217510561,Aave Ethereum wstETH,9438858.133319223,3005294.3401327105,2095.56218977,17894978,69.0,22085102.47663252
2023-08-10,796766497.7619526,15496318.936716996,796766497.7619526,0.019449009189323,7.67288006382263,0.4444900718004607,0.0073481570082204,Aave Ethereum wstETH,15480333.827738512,26992139.486586247,2100.8205667,17887777,69.0,22458433.241618834
2023-08-09,809226501.3028632,15209265.567086408,809226501.3028632,0.0187948189321522,7.667065046337728,0.4379481771299427,0.0069964827333611,Aave Ethereum wstETH,15192850.42575489,10619117.50987902,2103.27655332,17880346,69.0,22042413.86534262
