datetime,totalValueLockedUSD,totalBorrowBalanceUSD,totalDepositBalanceUSD,borrowerStableRate,borrowerVariableRate,lenderVariableRate,market,dailyDepositUSD,dailyWithdrawUSD,inputTokenPriceUSD,blockNumber,maximumLTV,totalCollateralBalanceUSD
2023-11-03,75427887.58438466,18790493.59498152,75427887.58438466,12.87514492691098,3.87514492691098,0.8205580268922421,Aave Ethereum rETH,2906133.806628216,818450.7459007059,1957.48933592,18490483,74.5,25222139.053666472
2023-11-02,73365292.3579312,17269213.532711405,73365292.3579312,12.661542593092385,3.661542593092384,0.7325910023705512,Aave Ethereum rETH,299184.87461423903,3705421.443793477,1958.17489727,18487824,74.5,23180152.392901216
2023-11-01,77436984.29863676,5194669.40321154,77436984.29863676,10.043500505056747,1.0435005050567463,0.0595002412572192,Aave Ethereum rETH,68242.23324589444,22350.191920479363,1975.44505899,18478966,74.5,6972710.608337638
2023-10-31,77066884.65010093,5172768.244383577,77066884.65010093,10.04409140015444,1.0440914001544415,0.0595676458346781,Aave Ethereum rETH,2119186.6980455606,1285535.5845659128,1967.17077156,18472059,74.5,6943313.0797095
2023-10-30,76668539.54347363,5202343.829910114,76668539.54347363,10.055517118675423,1.0555171186754257,0.0608785026199934,Aave Ethereum rETH,1803349.5026710848,5401735.864469722,1978.4822943,18464010,74.5,6983011.852228342
2023-10-29,79318679.91686279,5140976.289691155,79318679.91686279,10.00821632970328,1.0082163297032813,0.0555444734373194,Aave Ethereum rETH,311668.8459563455,4885.546416975,1955.18551482,18458548,74.5,6900639.315021684
2023-10-28,78448399.43109578,5133374.442282034,78448399.43109578,10.017894076311135,1.0178940763111357,0.0566159205857725,Aave Ethereum rETH,222056.68827267416,15139.371015932233,1941.26693241,18450522,74.5,6890435.492996018
2023-10-27,77543362.65934609,5087437.631853498,77543362.65934609,10.02055945851498,1.0205594585149815,0.0569128093141971,Aave Ethereum rETH,60047.68331689659,0.0,1923.94867358,18443413,74.5,6828775.3447697945
2023-10-26,77746543.75889699,5752383.684044152,77746543.75889699,10.150934886793484,1.1509348867934845,0.072382721566666,Aave Ethereum rETH,0.0,1551.3379540035069,1930.46912622,18435950,74.5,7721320.381267318
2023-10-25,78038705.05543473,5851141.642858072,78038705.05543473,10.16631181198584,1.166311811985839,0.0743297629089238,Aave Ethereum rETH,2291727.63364273,1988894.679017092,1937.64632994,18430564,74.5,7853881.399809494
2023-10-24,77910265.71740468,5861917.672128423,77910265.71740468,10.170386513485392,1.1703865134853932,0.0748500365768284,Aave Ethereum rETH,954850.7906352823,74122.5327897752,1941.28133131,18422974,74.5,7868345.868628756
2023-10-23,76050608.77382343,5802843.318010565,76050608.77382343,10.186923052811892,1.1869230528118937,0.0769801103551195,Aave Ethereum rETH,524086.77760320925,65103.38786735,1916.33075737,18416244,74.5,7789051.433571229
2023-10-22,71241850.47306171,5587561.391292148,71241850.47306171,10.220033304655585,1.2200333046555865,0.0813348690941897,Aave Ethereum rETH,1901940.7837237783,1488134.3770148405,1806.5318451,18409265,74.5,7500082.404418991
2023-10-21,69498459.75774555,5483023.235922929,69498459.75774555,10.227240409853723,1.2272404098537224,0.0822986466455084,Aave Ethereum rETH,1750355.3813281665,1541704.356891318,1772.79404406,18401973,74.5,7359762.732782455
2023-10-20,68221425.66886978,5586625.66266977,68221425.66886978,10.273836546986908,1.273836546986909,0.0886667538968744,Aave Ethereum rETH,3110372.978360147,2693083.4748617834,1745.47589994,18394418,74.5,7498826.392845329
2023-10-19,66234462.88805249,5468817.832613569,66234462.88805249,10.284383005223663,1.284383005223663,0.0901410266887241,Aave Ethereum rETH,1067615.9151761448,900466.776356792,1705.22214516,18387114,74.5,7340695.077333649
2023-10-18,65671715.06767983,5418944.231303953,65671715.06767983,10.283576090669605,1.2835760906696068,0.0900277999365774,Aave Ethereum rETH,2345632.291781616,107996.85515644035,1695.01438257,18380170,74.5,7273750.646045574
2023-10-17,63523164.01112711,5424934.613966291,63523164.01112711,10.32845811827048,1.3284581182704795,0.0964337673985028,Aave Ethereum rETH,165215.88035256593,46700.9592234368,1696.94382752,18373306,74.5,7281791.428142672
2023-10-16,64541746.2525088,5522150.726925681,64541746.2525088,10.330919669061227,1.3309196690612293,0.0967914701144964,Aave Ethereum rETH,47482.97928240629,1027428.5104396024,1727.32302881,18365416,74.5,7412282.854933801
2023-10-15,64323330.43609729,5419263.639511684,64323330.43609729,10.310558038813213,1.3105580388132125,0.0938525153871371,Aave Ethereum rETH,409622.9681900142,3291.250396625519,1695.19710949,18358796,74.5,7274179.381894877
