datetime,totalValueLockedUSD,totalBorrowBalanceUSD,totalDepositBalanceUSD,utilizationRate,borrowerStableRate,borrowerVariableRate,lenderVariableRate,market,dailyDepositUSD,dailyWithdrawUSD,inputTokenPriceUSD,blockNumber
2023-09-12,212285699.11999067344144,168752686.28997990121933,212285699.11999067344144,0.7949319572139218,8.9746490415865311,3.9746490415865311,2.8436103006812514,Aave Ethereum USDT,3917333.36412043988112,1554171.5839920121,0.99996809,18123462
2023-09-11,209797148.0409207354,169474310.2837101988,209797148.0409207354,0.8078008298313684,11.7895153394705192,6.9057451452817909,5.0202957096359835,Aave Ethereum USDT,6483028.60174727351846,8727838.76208681282852,0.99955,18116477
2023-09-10,212133115.61147562641983,169833012.29761740717635,212133115.61147562641983,0.800596417056678,9.1998908146735319,4.2082195986182624,3.0320210721148813,Aave Ethereum USDT,6695113.93360531945895,8619649.12839627926992,0.99987679,18109195
2023-09-09,214020139.3071694902,171243240.7290103488,214020139.3071694902,0.8001267604224657,9.03415832014442,4.0355815834837708,2.9059633618275589,Aave Ethereum USDT,74992.3431373422,6031721.60155811303382,0.9998,18101445
2023-09-08,219921676.07975540098734,171116732.4962606598531,219921676.07975540098734,0.7780803399943377,8.8902799615086939,3.8902799615086939,2.7241700722048953,Aave Ethereum USDT,1564406.7958155488,1254666.33336621919242,0.99961122,18095052
2023-09-07,219543830.6231142749,169967934.83955307618,219543830.6231142749,0.7741867961269795,8.8708464396571059,3.8708464396571059,2.6970213886930967,Aave Ethereum USDT,6494179.97324469414376,2848050.97213511512782,0.99938,18087532
2023-09-06,215895658.71765000001929,169050280.26098231029206,215895658.71765000001929,0.7830184324459603,8.9150339808493063,3.9150339808493063,2.7589483928168579,Aave Ethereum USDT,2767734.29287034350325,12818.97119678,0.99944263,18080611
2023-09-05,213105349.9692411060147,169188975.40248925279108,213105349.9692411060147,0.7939217641739609,8.9695823662168068,3.9695823662168068,2.8363651491922962,Aave Ethereum USDT,2096134.46342371349042,2305443.00331101822148,0.99935314,18073643
2023-09-04,213334008.35278895385704,168154033.9450077608732,213334008.35278895385704,0.7882195400694512,8.9406151181131987,3.9406151181131987,2.7951205516384138,Aave Ethereum USDT,5584767.23202091191984,3363951.92666880716634,0.99964724,18066431
2023-09-03,211191947.31006095301065,160025967.92557164068723,211191947.31006095301065,0.7577276026089664,8.7882129261494593,3.7882129261494593,2.5831002912922528,Aave Ethereum USDT,875721.96782559821183,555047.52858762421519,1.00012007,18059308
2023-09-02,210827694.23503750913416,159973657.97118637646536,210827694.23503750913416,0.7587886333037565,8.7935464413214021,3.7935464413214021,2.5903790284432093,Aave Ethereum USDT,444157.24415699937841,1079542.63117944585141,0.99998372,18052239
2023-09-01,211353193.86699293821046,160167752.0843396767534,211353193.86699293821046,0.7578203534749285,8.7887367344686731,3.7887367344686731,2.583814687760222,Aave Ethereum USDT,1821563.40188276277843,1068750.21044692877219,0.99953429,18045065
2023-08-31,210683153.877738,163263697.869473,210683153.877738,0.774925260347189,8.8742829328067118,3.8742829328067118,2.7018122838187277,Aave Ethereum USDT,4592154.44082330935,2249579.91195460625,1,18037968
2023-08-30,208311772.8976836433,167718184.8636323904,208311772.8976836433,0.8051306103856665,10.8238732005626429,5.8998679172527531,4.2748064278748238,Aave Ethereum USDT,3729291.79546545808922,932428.54288248619801,0.99995,18030756
2023-08-29,205520053.61440396653471,165139323.10133321704221,205520053.61440396653471,0.8035192683005381,10.2468558023478699,5.2988081274456978,3.8316589759089867,Aave Ethereum USDT,4857103.2676231946773,2697094.11931905184537,1.00007653,18023687
2023-08-28,203221223.1642023281756,163903026.120036839799,203221223.1642023281756,0.8065251432307516,11.3324671973228722,6.4296533305446586,4.6668427867012871,Aave Ethereum USDT,687389.63647984818052,2675677.67735596934476,0.9995158,18016487
2023-08-27,205202230.99132667159004,160641617.6365494695138,205202230.99132667159004,0.7828453758055844,8.9140444074362241,3.9140444074362241,2.7575538522089009,Aave Ethereum USDT,101232.07537385072662,74502.94843490879642,0.99957172,18009225
2023-08-26,205145603.81708342963385,157886502.54937225958115,205145603.81708342963385,0.7696314208621824,8.8480101045312602,3.8480101045312602,2.6652927176234424,Aave Ethereum USDT,1598395.25764390005514,456319.45549191532295,0.99951855,18001935
2023-08-25,203977958.27409751851834,157448807.55832637914107,203977958.27409751851834,0.7718912812469321,8.8593382120890112,3.8593382120890112,2.681008458352273,Aave Ethereum USDT,641227.24489027436864,1448716.75005137816,0.99946361,17995095
2023-08-24,204763670.19588647251,157161578.05469628958,204763670.19588647251,0.7675266706459608,8.8375473814658312,3.8375473814658312,2.6508185828991464,Aave Ethereum USDT,429474.22950048279,293754.63638597779,0.99943,17987960
2023-08-23,204627410.3127048475,156033135.446301089,204627410.3127048475,0.7625231400224262,8.8125610690666536,3.8125610690666536,2.6164119429652796,Aave Ethereum USDT,8299041.796106566635,715126.83790629412336,0.9995,17980761
2023-08-22,197046430.66279416934128,155424353.01237628573312,197046430.66279416934128,0.7887702024826534,8.9438255591127542,3.9438255591127542,2.7996768073279851,Aave Ethereum USDT,2631061.0222150013,9444324.53198431330096,0.99958732,17973581
2023-08-21,203884295.77056054835,153517030.27918574315,203884295.77056054835,0.7529615250600017,8.764577192904557,3.764577192904557,2.5509674594406878,Aave Ethereum USDT,2598657.460157058,361823.9998183887,0.99985,17966369
2023-08-20,201663523.733455,152796843.008044,201663523.733455,0.7576821042262476,8.7882063113656757,3.7882063113656757,2.583091270344733,Aave Ethereum USDT,4000.40880819,1541692.0648709926,1,17959240
2023-08-19,203146125.6283918024,157668435.8815926464,203146125.6283918024,0.7761331179409746,8.8804892984337024,3.8804892984337024,2.7104754951465277,Aave Ethereum USDT,6745380.08434816687152,6487814.80267653618626,0.9998,17952132
2023-08-18,202781868.30134293445946,162060440.97889084615308,202781868.30134293445946,0.7991860531537355,8.9957975939054249,3.9957975939054249,2.873951714062869,Aave Ethereum USDT,2103020.02360358448634,2615896.02980753365207,0.99938586,17945100
2023-08-17,203148780.70153484357117,152899957.23077694236393,203148780.70153484357117,0.7526501350525789,8.7631640849936592,3.7631640849936592,2.5490527075055095,Aave Ethereum USDT,664307.10688436480487,6476192.1487060293025,0.99875747,17937961
2023-08-16,208944741.358957967535,159224463.964852930909,208944741.358957967535,0.762041020651064,8.8101484780926384,3.8101484780926384,2.6131016565200967,Aave Ethereum USDT,1151539.887417911133,208128.8347143451712,0.998749,17930794
2023-08-15,207953038.6856066428602,165372381.1677790049061,207953038.6856066428602,0.7952390703835633,8.9761687620100868,3.9761687620100868,2.8457852443172687,Aave Ethereum USDT,1157537.533750548,1318471.55629069753712,0.9985919,17923623
2023-08-14,208161353.91532268782152,158315571.48101148552246,208161353.91532268782152,0.7605425719195321,8.8024553645933803,3.8024553645933803,2.6025600239504958,Aave Ethereum USDT,11566092.7299996382203,214319.10620880340992,0.99896554,17916305
2023-08-13,196885847.13914296295226,158245277.892838403922,196885847.13914296295226,0.8037412551091266,10.3291416102756794,5.3845225107038327,3.8947481900078659,Aave Ethereum USDT,1407432.63782123880306,1599936.8043359623032,0.99942138,17909341
2023-08-12,197100650.79371723197984,156703821.9394147062976,197100650.79371723197984,0.7950446703670132,8.9750183003104781,3.9750183003104781,2.8441386878045764,Aave Ethereum USDT,5145292.42357073032156,1047253.38000301487528,0.99961936,17902142
2023-08-11,192831860.5431762422154,159049912.5127320030578,192831860.5431762422154,0.8248113774596898,17.9196980430851133,13.2913521282136596,9.8661606512337913,Aave Ethereum USDT,3766542.03960177129069,2155980.53386632014516,0.9988502,17895058
2023-08-10,191198231.14319031722862,148723544.36214852398027,191198231.14319031722862,0.7778500013986422,8.8891643186989112,3.8891643186989112,2.722607837611338,Aave Ethereum USDT,3083941.34688836213,34583.43390171828,0.99890993,17887900
2023-08-09,188232015.10055316078,147685454.26949794806,188232015.10055316078,0.7845926432366178,8.9229089148208533,3.9229089148208533,2.7700585837165665,Aave Ethereum USDT,239556.02816573,1350620.357520147683,0.99942,17880748
2023-08-08,189298394.27637947808395,144764928.73701463125345,189298394.27637947808395,0.7647446207370091,8.8237019032075697,3.8237019032075697,2.6317253240267743,Aave Ethereum USDT,1397555.02594794344349,4578374.06920130208146,0.99925705,17873542
2023-08-07,192341682.19652384625662,134376505.02039142171786,192341682.19652384625662,0.6986343442868153,8.4928767408357204,3.4928767408357204,2.1960338268008095,Aave Ethereum USDT,534507.71522340397114,4163232.29573128293423,0.99868433,17866457
2023-08-06,195984586.04773160957446,129301181.01812542398194,195984586.04773160957446,0.6597517877586272,8.2985070767514235,3.2985070767514235,1.9584268083682598,Aave Ethereum USDT,36993341.08508783749217,1149066.50482407713342,0.99881159,17859203
2023-08-05,160075063.06366629682458,128354179.8842294555736,160075063.06366629682458,0.8018374469306281,9.6367149099950868,4.6632446979115488,3.3649590760666047,Aave Ethereum USDT,3505061.19371621846982,1585700.53217816464317,0.99853074,17852069
2023-08-04,158223068.81700560603637,128336059.48767128038635,158223068.81700560603637,0.81110839555324,12.9785415716253562,8.144314137109746,5.9449124096361852,Aave Ethereum USDT,4496240.81068799082441,2234569.34978241736664,0.99911031,17844984
2023-08-03,155962324.50243182354,126918394.27096931386,155962324.50243182354,0.813775985167433,13.9432202082352816,9.1491877169117517,6.7004812802044017,Aave Ethereum USDT,3767079.53900574124,4880412.28860274202,0.99926,17837739
2023-08-02,157070638.0474671962,127562197.2281491318,157070638.0474671962,0.8121326736420302,13.3573742834591353,8.5389315452699326,6.2410490144032944,Aave Ethereum USDT,3749882.2989472421477,8362309.89602745415348,0.9994,17830700
2023-08-01,161729073.9142900641027,115931187.26463402227034,161729073.9142900641027,0.7168234162156454,8.5840308897667532,3.5840308897667532,2.3121499353844077,Aave Ethereum USDT,76147709.96806320298216,64407816.03496881268138,0.99979074,17823560
2023-07-31,149946457.88368205389,124017680.98938814164,149946457.88368205389,0.8270797639354199,18.7155469868180454,14.1203614446021306,10.5096278278282489,Aave Ethereum USDT,57992214.74432873133915,35798270.3812162474994,0.99989,17816221
2023-07-30,127710780.07145345953065,118631316.8255425862301,127710780.07145345953065,0.9289060544393279,55.3793417813705804,52.3118143555943546,43.7299751290322317,Aave Ethereum USDT,8705105.55087755631075,53748833.8374628745563,1.00001655,17809208
2023-07-29,172695478.692038337881,126463586.3856478608285,172695478.692038337881,0.7322923989872708,8.661374298897725,3.661374298897725,2.4130191161931853,Aave Ethereum USDT,755976.8502678162645,56381.5121573908,0.99999325,17801159
