timestamp,totalLiquidityAsCollateral
2023-11-01,1681754620067319495932573
2023-11-01,1681754620067319495932573
2023-11-01,1654166912708857534060409
2023-11-01,60584011622103
2023-11-01,448617625994
2023-11-01,18816199979421
2023-11-01,448600308913
2023-11-01,26895995528175105691043420
2023-11-01,1654166912708857534060409
2023-11-01,18866199979421
